50	169684
51	182607
52	195958
53	214144
54	233175
55	250765
56	270966
57	290511
58	312157
59	331581
60	342035
61	338683
62	329906
63	324305
64	324552
65	325041
66	324644
67	330994
68	345172
69	366111
70	380061
71	368245
72	359400
73	360872
74	366369
75	374695
76	382218
77	393733
78	420407
79	466707
80	504568
81	502862
82	454033
83	410866
84	398492
85	398133
86	407159
87	414307
88	436998
89	489601
90	558720
91	593785
92	582563
93	516547
94	461616
95	435763
96	434049
97	444162
98	473796
99	525564
100	581337
101	617353
102	614477
103	593150
104	565119
105	539693
106	537717
107	554167
108	590155
109	661455
110	766339
111	855217
112	856197
113	768366
114	696382
115	686123
116	703979
117	729229
118	775682
119	873517
120	1057891
121	1311786
122	1499034
123	1441072
124	1179053
125	970740
126	916716
127	956666
128	1026592
129	1136584
130	1337818
131	1665840
132	2135668
133	2594861
134	2684679
135	2367796
136	2054484
137	2044425
138	2310344
139	2789262
140	3392452
141	3885731
142	4073306
143	4063999
144	4081447
145	4113126
146	4045198
147	3997389
148	4129319
149	4399140
150	4796438
151	5301743
152	5737068
153	5814059
154	5672653
155	5708598
156	6060736
157	6669307
158	7402662
159	8166931
160	8779750
161	9221054
162	9730664
163	10658800
164	12048447
165	13320325
166	13830036
167	13768807
168	13413806
169	12868482
170	12162142
171	11427143
172	10839395
173	10527773
174	10374707
175	10244239
176	9970086
177	9464878
178	8800119
179	8062041
180	7339050
181	6680281
182	6119711
183	5664554
184	5307367
185	5039497
186	4805044
187	4580334
188	4326290
189	4032168
190	3715150
191	3396338
192	3101470
193	2843244
194	2629219
195	2459462
196	2320710
197	2205928
198	2098251
199	1987319
200	1872614
201	1742110
202	1613391
203	1487298
204	1373063
205	1278360
206	1198817
207	1129235
208	1066158
209	1010411
210	952912
211	892124
212	829652
213	768066
214	710294
215	657803
216	614838
217	576936
218	543066
219	513552
220	485041
221	455182
222	426555
223	397063
224	369497
225	344698
226	322258
227	303318
228	287537
229	272064
230	258497
231	244475
232	233353
233	220229
234	209330
235	197714
236	188930
237	180261
238	173429
239	168028
240	163124
241	159325
242	154115
243	148818
244	144656
245	141494
246	137843
247	134600
248	132700
249	130309
250	129054
